Artist's Name,Time of Performance,Artist Coordinates,Genre,,
Stella Moon,19:00,"40.7128, -74.0060",Indie Pop,,
Jasper Rivers,20:00,"34.0522, -118.2437",Alternative Rock,,
Luna Silva,20:00,"51.5074, -0.1278",Electro-Pop,,
Kairos Blue,22:00,"35.6895, 139.6917",Ambient Electronica,,
Solange Rivers,23:00,"-33.8688, 151.2093",Soul/R&B,,
Orion Sky,21:00,"41.8781, -87.6298",Post-Rock,,
Nova Star,22:00,"52.5200, 13.4050",Synthwave,,
Phoenix Dawn,19:00,"37.7749, -122.4194",Dream Pop,,
Astra Nova,20:00,"48.8566, 2.3522",Chillwave,,
Zephyr Breeze,21:00,"45.4215, -75.6910",Experimental,,
Lyra Sun,23:00,"-22.9068, -43.1729",Psychedelic Rock,,
Nebula Cloud,22:00,"-37.8136, 144.9631",Deep House,,
Atlas Peak,20:00,"34.0522, -118.2437",Indie Folk,,
Cassiopeia Dawn,21:00,"51.5074, -0.1278",Neo-Soul,,
Celeste Star,23:00,"35.6895, 139.6917",Electronic Jazz,,
Zenith Sky,19:00,"40.7128, -74.0060",Ambient Folk,,
Vega Night,22:00,"34.0522, -118.2437",Trap Soul,,
Solar Flare,21:00,"51.5074, -0.1278",Indie Electronic,,
Eclipse Dusk,20:00,"35.6895, 139.6917",Progressive House,,
Luna Sea,23:00,"-33.8688, 151.2093",Reggae Fusion,,
Horizon Breeze,19:00,"41.8781, -87.6298",Shoegaze,,
Aurora Sky,22:00,"52.5200, 13.4050",Ambient Pop,,
Orion Blaze,21:00,"37.7749, -122.4194",Experimental Rock,,
Nova Nebula,20:00,"48.8566, 2.3522",Space Rock,,
Phoenix Rising,21:00,"45.4215, -75.6910",Chillout,,
Astra Zenith,19:00,"-22.9068, -43.1729",Lo-Fi Hip Hop,,
Zephyr Wind,20:00,"-37.8136, 144.9631",Acid Jazz,,
Lyra Stella,21:00,"34.0522, -118.2437",Trip-Hop,,
Nebula Star,23:00,"51.5074, -0.1278",Baroque Pop,,
Atlas Zen,22:00,"35.6895, 139.6917",Ambient Techno,,
Cassiopeia Nova,20:00,"40.7128, -74.0060",Synthpop,,
Celeste Nova,21:00,"34.0522, -118.2437",Electro Soul,,
Zenith Dawn,23:00,"51.5074, -0.1278",Indie Rock,,
Vega Dawn,19:00,"35.6895, 139.6917",Blues Rock,,
Solaris Sky,21:00,"-33.8688, 151.2093",New Wave,,
Eclipse Nova,21:00,"41.8781, -87.6298",Art Rock,,
Lunar Tide,20:00,"52.5200, 13.4050",Funk,,
Horizon Star,23:00,"37.7749, -122.4194",Post-Punk,, 
Aurora Borealis,19:00,"48.8566, 2.3522",Soul Jazz,,
Orion Star,22:00,"45.4215, -75.6910",Pop Rock,,
Nova Sky,21:00,"-22.9068, -43.1729",Acoustic,,
Phoenix Sky,20:00,"-37.8136, 144.9631",Deep Techno,,
Astra Luna,21:00,"34.0522, -118.2437",Trap,,
Zephyr Dawn,19:00,"51.5074, -0.1278",Drone,,
Lyra Breeze,21:00,"35.6895, 139.6917",Experimental Pop,,
